term	meaning	example
連結リスト	挿入・削除が速い（位置が分かっていればポインタ付け替え）	配列は参照が速いが途中挿入・削除は遅い
有限小数	小数部の桁数に限りがある小数	0.125 など
無限小数	小数部の桁数に限りがない小数	0.333… など
二分探索木の条件	左の子孫 < 親 < 右の子孫	探索は平均で O(log n)
クイックソート	基準値（ピボット）で小さい群と大きい群に分割して再帰的に整列	平均 O(n log n)
半加算器	論理積(AND)と排他的論理和(XOR)で実現する	和=XOR, 桁上がり=AND
全加算器	2入力＋下位からの桁上がりも加算する	半加算器2個＋ORで構成できる
後置記法（逆ポーランド）	演算子を後ろに書く記法（スタックで評価しやすい）	「A B +」のように書く
機械学習	学習能力をコンピュータ上に再現する技術	データから規則性を獲得
教師あり学習	入力データと正解データを与えて学習	分類・回帰など
教師なし学習	入力データのみを与えて学習	クラスタリングなど
ニューラルネットワーク	神経細胞の仕組みを模したモデル	層（レイヤ）で構成
活性化関数	次のニューロンへ渡す出力値を決める関数	ReLU, sigmoid など
ディープラーニング	ニューラルネットワークを多層化した機械学習	特徴量を自動抽出しやすい
生成AI	テキスト/音声/画像/動画などを生成するAI	文章生成、画像生成
プロンプトエンジニアリング	生成AIへの指示（プロンプト）を最適化すること	望む出力を得るために工夫
ディープフェイク	本物と見分けがつかない偽物の音声/動画などを作る手法	偽動画の生成
ハルシネーション	誤情報をもっともらしく生成する現象	AIの“作り話”
基盤モデル	大量データで事前学習した汎用モデル	LLMなど
ファインチューニング	基盤モデルに追加学習して用途特化させる	社内文書に特化など
ハッシュ法	ハッシュ値で格納場所を決める方法	探索が高速になりやすい
ハッシュ法のデメリット	衝突が起こる可能性がある	衝突処理が必要
二分探索法（条件）	事前にデータが整列されている必要がある	未整列なら線形探索
二分探索法（手順）	探索範囲を半分にしながら探す	中央値と比較して範囲を絞る
再帰呼出し	関数の中で自分自身を呼び出す処理	階乗、総和など
再帰的アルゴリズム	「総和」「積」「階乗」などで出題されやすい	n! や 1〜nの和
ハッシュ法の計算量	平均 O(1)	衝突が多いと劣化
二分探索法の計算量	O(log n)	探索範囲を半分にする
線形探索法の計算量	O(n)	先頭から順に探す
クイックソートの計算量	平均 O(n log n)（最悪 O(n^2)）	ピボットが偏ると最悪
再入可能（リエントラント）	同時に呼び出されても正しく動作する性質	共有資源を持たない等
Javaアプレット	サーバからDLしてブラウザ上で実行されるJavaプログラム	現在は廃止/非推奨が一般的
Javaサーブレット	サーバ上で動作し動的Webページを生成するJavaプログラム	Webアプリのサーバ側
HTML	Webページの論理構造や文字要素を記述するマークアップ言語	タグにルールがある
XML	利用者が任意にタグを定義できるマークアップ言語	データ表現向き
スタック	LIFO（最後に入れたものを最初に取り出す）	関数呼び出し、後置記法評価
キュー	FIFO（最初に入れたものを最初に取り出す）	印刷待ち行列など
2次元配列の要素参照	配列名[行番号, 列番号]（言語仕様に従う）	例：a[2,3]
配列	参照・更新が速い（連続領域）	途中挿入・削除は遅い
CSS	HTMLの見た目（文字サイズ、色、行間など）を指定する言語	スタイルの分離
Ajax	JavaScriptの非同期通信で画面遷移なしにUIを更新	部分更新
CPU性能指標	クロック周波数 / MIPS / コア数	複数の見方がある
命令実行速度	1秒間の命令数＝クロック周波数 ÷ CPI（1命令あたりクロック数）	CPIが小さいほど速い
MIPS	1秒あたりの百万命令数（Million Instructions Per Second）	比較には注意が必要
主記憶装置	命令やデータを格納しておく装置	CPUが参照するメモリ
プログラムカウンタ（PC）	次に実行する命令のアドレスを保持	割込みで退避/復帰する
命令レジスタ（IR）	実行中の命令を保持	デコード対象
汎用レジスタ	データを保持するレジスタ	演算や一時保存に使う
割込み処理の流れ	PC退避→割込み処理→PC復帰して再開	実行位置を戻す
内部割込み	CPU内部の例外（ゼロ除算など）	例外/トラップ
外部割込み	外部装置など（インターバルタイマ等）	指定時間経過など
キャッシュメモリ	CPUと主記憶の間の高速メモリ	待ち時間を短縮
ヒット率	必要データがキャッシュにある確率	高いほど速い
実効アクセス時間	キャッシュ時間×ヒット率＋主記憶時間×(1-ヒット率)	公式で計算問題が出る
メモリインタリーブ	主記憶を複数バンクに分け並列アクセスして高速化	連続アクセスで有効
ライトスルー方式	キャッシュと主記憶の両方に書き込む	一貫性は保ちやすい
ライトバック方式	キャッシュのみ更新し追い出し時に主記憶へ書き込む	主記憶更新は遅延
入出力インタフェース	有線/無線に分類できる	USBやWi-Fiなど
シリアル/パラレル	現在主流はシリアル（高速化・配線簡素）	USBなど
USB 3.0 最大転送速度	5Gbps	規格値
USB Type-C	コネクタ形状が特徴（上下対称）	向きがない
デイジーチェーン	周辺機器を数珠つなぎに接続する方法	Thunderbolt等の例
デバイスドライバ	周辺機器を制御するソフトウェア	OSと機器の橋渡し
dpi	1インチあたりのドット数（解像度）	印刷/画像
ポイント（pt）	文字サイズの単位	フォントサイズ
3Dプリンター	積層方式などで立体物を造形	樹脂や金属
Webシステム	サーバが処理しブラウザが表示（HTMLに従う）	クライアントは表示中心
デュプレックスシステム	1台故障でももう1台が準備された構成（待機系あり）	切替がポイント
デュアルシステム	2台が同じ処理を行い結果を照合する構成	高信頼化
ホットスタンバイ	待機系を稼働状態で待たせ故障時すぐ切替	切替時間が短い
フォールトトレラント	部分故障しても全体として機能維持	冗長化で実現
フールプルーフ	誤操作しても異常が起きない設計	利用者ミス対策
ストライピング（RAID0）	分割して複数ディスクに書き込み高速化	冗長性なし
ミラーリング（RAID1）	同じデータを複数ディスクに書き込み信頼性向上	容量効率は下がる
スループット	単位時間当たりの処理量	大きいほど処理能力高い
ターンアラウンドタイム	入力〜出力完了までの総時間	全工程の合計
レスポンスタイム	要求してから応答が返るまでの時間	体感速度に関係
ベンチマークテスト	標準プログラム/データで性能測定	目的に合う選定が重要
スケールアウト	台数を増やして性能を上げる（水平拡張）	クラウドで一般的
